Date,titleId,Title,episodeId,Episode,seasonNumber,episodeNumber
14/02/2022,tt16477402,WWII in Color: Road to Victory,tt16542940,Ocupação da Itália,1,5
08/02/2022,tt16477402,WWII in Color: Road to Victory,tt16542830,Batalha de Kursk,1,4
31/01/2022,tt16477402,WWII in Color: Road to Victory,tt16542592,Ocupação do Norte da África,1,3
30/12/2021,tt16477402,WWII in Color: Road to Victory,tt16542414,Batalha do Atlântico,1,2
27/12/2021,tt16477402,WWII in Color: Road to Victory,tt16542412,Dunquerque,1,1
14/11/2021,tt9103932,Greatest Events of WWII in Colour,tt9103988,Hiroshima,1,10
13/11/2021,tt9103932,Greatest Events of WWII in Colour,tt9103970,Libertação de Buchenwald,1,9
08/11/2021,tt9103932,Greatest Events of WWII in Colour,tt9103966,Bombardeio de Dresden,1,8
07/11/2021,tt9103932,Greatest Events of WWII in Colour,tt9103964,Batalha do Bulge,1,7
30/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103960,Dia D,1,6
15/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103958,Cerco de Stalingrado,1,5
12/10/2021,tt1051155,The Universe,tt1119104,Alien Planets,2,1
12/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103954,Batalha de Midway,1,4
12/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103952,Pearl Harbor,1,3
10/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103948,Batalha da Grã-Bretanha,1,2
08/10/2021,tt9103932,Greatest Events of WWII in Colour,tt9103946,Guerra-relâmpago,1,1
03/06/2021,tt0028478,The Walking Dead,,Morto ou vivo,8,11
22/05/2021,tt0028478,The Walking Dead,,Os perdidos e os saqueadores,8,10
16/05/2021,tt0028478,The Walking Dead,,Honra,8,9
15/05/2021,tt0028478,The Walking Dead,,Como vai ser,8,8
14/05/2021,tt0028478,The Walking Dead,,Tempo para depois,8,7
10/05/2021,tt0028478,The Walking Dead,,"O rei, a viúva e Rick",8,6
09/05/2021,tt0028478,The Walking Dead,,Cerco assustador,8,5
08/05/2021,tt0028478,The Walking Dead,,Um cara aí,8,4
07/05/2021,tt0028478,The Walking Dead,,Monstros,8,3
02/05/2021,tt0028478,The Walking Dead,,Os condenados,8,2
01/05/2021,tt0028478,The Walking Dead,,Misericórdia,8,1
28/03/2021,tt6074794,Sangatsu no Lion,tt8792878,Episódio 22,2,22
28/03/2021,tt6074794,Sangatsu no Lion,tt8792876,Episódio 21,2,21
27/03/2021,tt6074794,Sangatsu no Lion,tt8792870,Episódio 20,2,20
27/03/2021,tt6074794,Sangatsu no Lion,tt8792864,Episódio 19,2,19
15/02/2021,tt12930534,Challenger: The Final Flight,,Nada acaba aqui,,4
15/02/2021,tt12930534,Challenger: The Final Flight,,Uma grande avaria,,3
08/02/2021,tt12930534,Challenger: The Final Flight,,Socorro!,,2
07/02/2021,tt12930534,Challenger: The Final Flight,,O espaço para todos,,1
16/01/2021,tt6074794,Sangatsu no Lion,tt8792858,Episódio 18,2,18
15/01/2021,tt6074794,Sangatsu no Lion,tt8792850,Episódio 17,2,17
14/01/2021,tt6074794,Sangatsu no Lion,tt8792844,Episódio 16,2,16
